cnt,msgCnt,gpsSecond,latitude,longitude,elevation,latError,lonError,speedMS2,speedMPH,heading,fwdAccel,latAccess,vertAccel,yawRate
1331,51,6960,40.72451982,-74.53997687,47.7,0.05,0.05,0,28.75,174.22,0.29,1.56,2.34,0.54
1332,52,7180,40.72450509,-74.53997486,47.6,0.05,0.05,0,26.514,174.53,0.01,1.38,1.54,0.54
1333,53,7390,40.72449134,-74.53997305,47.6,0.05,0.05,0,24.528,174.87,0.38,1.16,1.22,0.4
1334,54,7610,40.72447874,-74.53997159,47.5,0.05,0.05,0,22.638,175.27,-0.5,1.38,0.83,0.57
1335,55,7820,40.72446711,-74.53997024,47.5,0.05,0.05,0,20.643,175.56,0.26,0.37,0.64,0.62
1336,56,8040,40.72445667,-74.53996925,47.5,0.05,0.05,0,18.428,175.82,0.26,0.51,1.3,0.64
1337,57,8330,40.72444462,-74.53996804,47.4,0.05,0.05,0,15.799,176.06,-0.4,0.6,0.75,0.43
1338,58,8540,40.72443674,-74.53996728,47.4,0.05,0.05,0,13.977,176.06,0.07,0.25,0.22,0.42
1339,59,8760,40.72442984,-74.53996656,47.4,0.05,0.05,0,12.31,175.84,0.38,0.39,1.06,0.71
1340,60,8980,40.7244239,-74.53996583,47.4,0.05,0.05,0,10.509,175.58,0,0.72,0.87,0.49
1341,61,9190,40.72441913,-74.53996539,47.3,0.05,0.05,0,8.603,175.33,0.05,0.25,0.64,0.59
1342,62,9410,40.72441528,-74.53996497,47.3,0.05,0.05,0,6.888,175,-0.37,0.35,0.47,-1.94
1343,63,9620,40.72441227,-74.53996453,47.3,0.05,0.05,0,6.122,174.5,-0.09,0.11,-0.77,-2.35
1344,64,9840,40.7244092,-74.53996395,47.3,0.05,0.05,0,6.38,173.34,-0.29,-0.65,-1.79,-2.31
1345,65,10060,40.72440607,-74.5399632,47.3,0.05,0.05,0,6.709,171.02,-0.19,-0.94,-1.83,-2.44
1346,66,10270,40.72440274,-74.53996208,47.3,0.05,0.05,0,7.567,167.55,-0.46,-1.26,-3.02,-2.56
1347,67,10490,40.72439868,-74.53996028,47.3,0.05,0.05,0,9.376,162.74,-0.16,-1.9,-2.38,-2.82
1348,68,10700,40.72439391,-74.5399573,47.3,0.05,0.05,0,10.775,155.8,-0.64,-2.21,-1.52,-3.01
1349,69,10920,40.72438894,-74.53995279,47.3,0.05,0.05,0,11.875,147.06,-0.33,-2.02,-0.78,3.09
1350,70,11140,40.72438414,-74.53994675,47.3,0.05,0.05,0,12.301,136.9,0.41,-2.57,0.16,2.86
1351,71,11350,40.72438005,-74.53993876,47.3,0.05,0.05,0,12.09,125.69,0.13,-1.74,0.83,2.79
1352,72,11570,40.72437697,-74.5399296,47.3,0.05,0.05,0,11.492,114.09,0.17,-1.95,1.52,2.86
1353,73,11780,40.72437546,-74.53991946,47.3,0.05,0.05,0,10.89,102.36,0.3,-2.07,1.76,2.83
1354,74,12000,40.72437539,-74.53990854,47.3,0.05,0.05,0,10.424,90.86,0.17,-1.06,1.23,2.84
1355,75,12290,40.72437819,-74.53989383,47.3,0.05,0.05,0,9.595,75.78,0.2,-0.82,1.22,2.84
1356,76,12500,40.7243822,-74.53988315,47.3,0.05,0.05,0,9.333,64.61,0.07,-0.66,0.99,2.82
1357,77,12790,40.7243904,-74.53987031,47.4,0.05,0.05,0,8.547,50.24,0.12,0,1.23,2.81
1358,78,13010,40.72439814,-74.53986225,47.4,0.05,0.05,0,8.267,40.25,0.12,0,1.23,3.02
1359,79,13220,40.72440698,-74.53985587,47.4,0.05,0.05,0,7.699,31.15,0.68,0.28,1.92,3.01
1360,80,13440,40.72441664,-74.53985085,47.4,0.05,0.05,0,7.242,23.28,0.34,1,1.42,-2.63
1361,81,13660,40.7244271,-74.53984746,47.4,0.05,0.05,0,7.104,16.28,1.03,-0.14,1.22,-2.99
1362,82,13870,40.72443835,-74.53984548,47.5,0.05,0.05,0,7.357,10.21,-0.05,0.59,0.85,-2.69
1363,83,14090,40.72445067,-74.53984475,47.5,0.05,0.05,0,8.03,5.22,0.66,0.59,0.91,-2.46
1364,84,14380,40.72446799,-74.53984567,47.6,0.05,0.05,0,8.184,0.22,0.24,1.11,0.92,-2.41
1365,85,14590,40.72448176,-74.53984754,47.6,0.05,0.05,0,9.047,357.62,0.34,1.39,1.02,-2.33
1366,86,14880,40.72450121,-74.53985115,47.7,0.05,0.05,0,9.83,355.17,0.25,1.06,1.1,-2.26
1367,87,15100,40.7245165,-74.53985462,47.7,0.05,0.05,0,10.684,353.77,0.26,0.87,0.76,-2.15
1368,88,15380,40.72453761,-74.5398602,47.8,0.05,0.05,0,11.455,352.43,0.24,0.6,0.78,-1.97
1369,89,15600,40.72455414,-74.53986475,47.8,0.05,0.05,0,12.369,352.15,0.11,1.79,0.85,-1.85
1370,90,15820,40.724571,-74.53986928,47.9,0.05,0.05,0,13.135,352.62,0.04,1.75,0.78,-1.79
1371,91,16030,40.72458814,-74.53987364,47.9,0.05,0.05,0,14.108,353.28,-0.01,1.81,0.51,-1.83
